MOV;r32/64,r32/64;0-1
MOVNTI;m,r;~400
DIV;r8;22-25
DIV;r16;23-26
DIV;r32;22-29
DIV;r64;32-96
IDIV;r8;23-26
IDIV;r16;23-26
IDIV;r32;22-29
IDIV;r64;39-103
ENTER;a,b;~87+2b
FDIV(R)(P);r;10-24
FSCALE;;49-125
FSQRT;;10-23
FSIN;;47-106
FSINCOS;;52-123
F2XM1;;63-68
FYL2X ;;58-680
FYL2XP1;;58-360
FPATAN;;96-156
MOVDQA/U;x,x;0-1
VMOVDQA/U;y,y;0-1
MOVNTQ;m64,mm;~400
MOVNTDQ;m128,x;~400
VMOVNTDQ;m256,y;~400
MASKMOVQ;mm,mm;13-413
MASKMOVDQU;x,x;14-438
VPMASKMOVD/Q;m,v,v;13-14
MOVAPS/D;x,x;0-1
VMOVAPS/D;y,y;0-1
MOVNTPS/D;m128,x;~400
VMOVNTPS/D;m256,y;~400
DIVSS DIVPS;x,x;10-13
DIVSD DIVPD;x,x;10-20
VDIVPS;y,y,y;18-21
VDIVPD;y,y,y;19-35
VSQRTPD;y,y;28-29
