XCHG;r,m;high
DIV IDIV;r8;9-18
DIV IDIV;r16;14-22
DIV IDIV;r32;14-23
DIV;r64;18-57
IDIV;r64;34-88
DIV IDIV;m8;9-18
DIV IDIV;m16;14-22
DIV IDIV;m32;14-23
DIV;m64;34-88
IDIV;m64;39-72
REP LODS;;1+5n-21+3n
REP STOS;;7+2n-0.55n
REP MOVS;;1+3n-0.63n
REP(N)E SCAS;;3+8n-23+6n
REP(N)E CMPS;;2+7n-22+5n
FDIV(R)(P);r;6-21
FDIV(R)(P);m;6-21
FIDIV(R);m;6-21
FPREM;;13-40
FPREM1;;18-41
FRNDINT;;10-22
FXTRACT;;~170
FSQRT;;6-20
FSIN;;32-85
FCOS;;70-100
FSINCOS;;38-107
FYL2X  FYL2XP1;;50-100
FPTAN;;40-130
FPATAN;;55-130
MOVDQU;m128,xmm;3-8
MOVDQU;xmm,m128;2-8
LDDQU;xmm,m128;2-8
MOVUPS/D;xmm,m128;2-4
MOVUPS/D;m128,xmm;3-4
DIVSS;xmm,xmm;6-13
DIVSD;xmm,xmm;6-21
DIVPS;xmm,xmm;6-13
DIVPD;xmm,xmm;6-21
SQRTSS/PS;xmm,xmm;6-13
SQRTSD/PD;xmm,xmm;6-20
